City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Ulaangom,MN,80.33,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
566,Constantine,DZ,70.2,clear sky,36.365,6.6147,Grand Hotel Cirta
567,Oussouye,SN,72.14,broken clouds,12.485,-16.5469,Auberge du Routard
569,Heishan,CN,89.71,overcast clouds,41.6892,122.1128,Heishan Hotel
570,Comendador,DO,71.15,overcast clouds,18.8775,-71.7028,Babina De Los Santos
573,Corinto,GR,68.9,clear sky,37.9407,22.9573,Ephira Hotel
576,Sunrise Manor,US,89.11,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
582,Veraval,IN,86.76,broken clouds,20.9,70.3667,Lords Inn Somnath
583,Anloga,GH,78.51,overcast clouds,5.7947,0.8973,Pin Drop Hotel
585,Palmer,US,69.17,scattered clouds,42.1584,-72.3287,Wedgewood Motel
587,Touros,BR,73.65,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
588,Mulanje,MW,70.41,scattered clouds,-16.0316,35.5,Mulanje Motel
591,Acarau,BR,75.0,clear sky,-2.8856,-40.12,castelo pizzaria
594,Key Largo,US,82.0,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
596,Biak,ID,82.69,scattered clouds,-0.9131,122.8766,Penginapan Kim
600,Pauini,BR,74.64,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
604,Gonen,TR,69.03,broken clouds,40.1049,27.654,Gönen Palmiye Butik Pansiyon
605,Key West,US,82.4,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
606,Ambulu,ID,87.48,few clouds,-8.345,113.6058,Hotel Ambulu Jember
607,Venice,US,82.44,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
608,Champerico,GT,81.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
610,Beyneu,KZ,73.17,clear sky,45.3167,55.2,NUR
611,Sungaipenuh,ID,82.04,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
613,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
617,Kalemie,CD,70.59,overcast clouds,-5.9475,29.1947,Mahobilali
618,Yatou,CN,79.2,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
620,Sao Gabriel Da Cachoeira,BR,69.73,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
621,Yulara,AU,74.5,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
623,Avera,US,71.65,overcast clouds,33.194,-82.5271,
625,Itaituba,BR,75.52,overcast clouds,-4.2761,-55.9836,Hotel Campos
627,Pemba,MZ,74.3,clear sky,-12.974,40.5178,Guesthouse Samotina
628,Ust-Koksa,RU,68.31,broken clouds,50.2696,85.6108,Uymonskaya Dolina
630,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
631,Tokonou,GN,69.31,overcast clouds,9.65,-9.7833,
634,Lodja,CD,68.97,overcast clouds,-3.4833,23.4333,
635,Abnub,EG,66.42,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
