City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
257,Kerema,-7.9631,145.7785,scattered clouds,84.13,75,48,7.76,PG
258,Kondinskoye,59.6481,67.41,light rain,49.12,67,51,17.0,RU
259,Inirida,3.8653,-67.9239,overcast clouds,72.21,99,100,2.42,CO
260,Maceio,-9.6658,-35.7353,broken clouds,74.64,88,75,4.61,BR
261,Sakakah,29.9697,40.2064,few clouds,69.37,28,11,18.75,SA
262,Progreso,21.2833,-89.6667,overcast clouds,84.31,74,100,15.73,MX
263,Karratha,-20.7377,116.8463,overcast clouds,72.19,78,100,4.94,AU
264,Sainte-Marie,-20.8968,55.5496,scattered clouds,74.41,70,35,12.66,RE
265,Roald,62.5833,6.1333,broken clouds,58.12,67,75,10.36,NO
266,Fortuna,40.5982,-124.1573,overcast clouds,51.93,93,100,8.05,US
267,Sao Sebastiao,-23.76,-45.4097,scattered clouds,62.87,89,29,4.56,BR
268,Miles City,46.4083,-105.8406,broken clouds,54.57,50,75,5.75,US
269,Hailey,43.5196,-114.3153,clear sky,40.87,80,0,0.0,US
270,Ornskoldsvik,63.2909,18.7153,broken clouds,41.95,100,75,0.0,SE
271,Ilyich,40.8464,68.5067,few clouds,68.04,38,21,1.59,KZ
272,Berlevag,70.8578,29.0864,overcast clouds,40.95,81,100,6.91,NO
273,Bamiantong,44.9333,130.5333,scattered clouds,80.24,27,39,6.55,CN
274,General Roca,-39.0333,-67.5833,overcast clouds,45.63,44,92,7.16,AR
275,Ixtapa,20.7,-105.2,scattered clouds,76.23,83,40,5.75,MX
276,Dongsheng,39.8161,109.9776,clear sky,71.38,34,1,3.47,CN
277,Carutapera,-1.195,-46.02,scattered clouds,73.22,95,39,2.86,BR
278,Sao Filipe,14.8961,-24.4956,clear sky,70.75,73,8,6.08,CV
279,Carnarvon,-24.8667,113.6333,clear sky,73.45,53,8,18.21,AU
280,Tommot,58.9564,126.2925,light rain,57.0,56,82,8.57,RU
281,Praia,14.9215,-23.5087,scattered clouds,70.34,73,40,6.91,CV
282,Coihaique,-45.5752,-72.0662,light rain,34.41,93,100,4.61,CL
283,Namibe,-15.1961,12.1522,clear sky,68.16,64,3,3.09,AO
284,Rawson,-43.3002,-65.1023,clear sky,45.91,50,3,19.22,AR
285,Khatanga,71.9667,102.5,overcast clouds,34.83,66,94,14.43,RU
286,Coracora,-15.0333,-73.7833,scattered clouds,43.12,42,27,4.63,PE
287,Oyama,36.3,139.8,scattered clouds,76.59,39,48,7.54,JP
288,Adet,11.2644,37.4888,scattered clouds,67.5,52,50,2.3,ET
289,Juodupe,56.0833,25.6167,overcast clouds,46.85,63,100,4.97,LT
290,Bukama,-9.2,25.85,overcast clouds,67.87,79,94,2.84,CD
291,Yelatma,54.9675,41.7508,broken clouds,39.69,60,78,9.42,RU
292,Arandis,-22.4167,14.9667,scattered clouds,62.17,25,36,17.54,NA
293,Suoyarvi,62.0833,32.35,few clouds,38.77,46,11,8.1,RU
294,Nauta,-4.5061,-73.5757,broken clouds,72.57,87,62,1.88,PE
295,Saint George,37.1041,-113.5841,clear sky,75.79,14,0,4.61,US
296,Zhezkazgan,47.8043,67.7144,clear sky,64.38,19,0,17.9,KZ
297,Matagami,49.7502,-77.6328,overcast clouds,39.31,87,100,0.0,CA
298,Funadhoo,6.15,73.2667,broken clouds,83.79,77,70,13.82,MV
299,Umm Kaddadah,13.6017,26.6876,scattered clouds,76.82,19,37,12.88,SD
300,San Quintin,30.4833,-115.95,clear sky,58.87,90,1,8.86,MX
301,Enterprise,36.0252,-115.2419,broken clouds,83.5,12,75,9.22,US
302,Cabedelo,-6.9811,-34.8339,broken clouds,75.87,89,52,12.15,BR
303,Haradok,55.4624,29.9816,broken clouds,42.91,55,61,7.81,BY
